# T02 PARKED models -- PROVISIONAL, pending T27 reload AND target-row generation.
# These curve rows do NOT exist yet (UNMAPPED in T01). Each carries the durable
# join key; when the target enhanced/coarse row is generated (T19->T20->T09->T08
# chain, or the 15.4 non-squarefree extension, or the grammar fixes), attach the
# model via the join key.  equation = normalized text[] polys (postgres array).
# park_reason values: PENDING_GENERATION | GRAMMAR_VIOLATION | NO_COARSE_ROW
# dup_occ>0 marks the 2nd model rep of a duplicate-label curve (see Log).
old_label|park_reason|dup_occ|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|genus|model_type|number_variables|smooth|dont_display|equation|note
15.4-[1,3,20,60]|PENDING_GENERATION|0|15|60|1|1|1,3,20,60|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 14x*z^2 + y*z^2 + 64z^3"}|\N
15.4-[1,3,4,12]|PENDING_GENERATION|0|15|60|1|1|1,3,4,12|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - x*z^2 + y*z^2 - 2z^3"}|\N
15.4-[1,3,4,5,12,15,20,60]|PENDING_GENERATION|0|15|60|1|1|1,3,4,5,12,15,20,60|0|2|3|t|f|{"x*y + 3x*t + 3y*t"}|\N
15.4-[1,3,5,15]|PENDING_GENERATION|0|15|60|1|1|1,3,5,15|0|2|3|t|f|{"x^2 - y*t"}|\N
15.4-[1,3]|PENDING_GENERATION|0|15|60|1|1|1,3|2|5|3|t|f|{"3x^6 - 9x^5z + 18x^4z^2 - 20x^3z^3 + x^2y*z + 18x^2z^4 + x*y*z^2 - 9x*z^5 + y^2 + 3z^6"}|\N
15.4-[1,4,15,60]|PENDING_GENERATION|0|15|60|1|1|1,4,15,60|0|2|3|t|f|{"x^2 - 1/3y*t"}|\N
15.4-[1,4,5,20]|PENDING_GENERATION|0|15|60|1|1|1,4,5,20|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + y*z^2"}|\N
15.4-[1,4]|PENDING_GENERATION|0|15|60|1|1|1,4|2|5|3|t|f|{"x^5z - 3x^4z^2 + x^3y + 4x^3z^3 - 3x^2z^4 + x*z^5 + y^2 + y*z^3"}|\N
15.4-[1,5,12,60]|PENDING_GENERATION|0|15|60|1|1|1,5,12,60|2|5|3|t|f|{"-3x^5z - 5x^4z^2 - x^3z^3 + 37x^2z^4 + 24x*z^5 + y^2 - 12z^6"}|\N
15.4-[1,5]|PENDING_GENERATION|0|15|60|1|1|1,5|3|5|3|t|f|{"-12x^8 + 48x^7z - 119x^6z^2 + 189x^5z^3 - 224x^4z^4 + 189x^3z^5 - 119x^2z^6 + 48x*z^7 + y^2 - 12z^8"}|\N
15.4-[1,60]|PENDING_GENERATION|0|15|60|1|1|1,60|3|5|3|t|f|{"x^8 + 3x^6z^2 + x^4y + 3x^4z^4 + x^2y*z^2 + 10x^2z^6 + y^2 + 12z^8"}|\N
15.4-[1]|NO_COARSE_ROW|0|15|60|1|1|1|5|8|3|t|f|{"-80x^6 - 83x^4 - 26x^2 - y^2 - 3","-3x^2 - z^2 - 1"}|\N
155.1-[1,155]|PENDING_GENERATION|0|155|155|1|1|1,155|\N|5|3|t|f|{"25x^6-19x^4z^2+11x^2z^4-z^6-y^2"}|\N
158.1-[1,158]|PENDING_GENERATION|0|158|158|1|1|1,158|\N|5|3|t|f|{"-8x^6+9x^4z^2+14x^2z^4+z^6-y^2"}|\N
159.1-[1,159]|PENDING_GENERATION|0|159|159|1|1|1,159|0|2|3|t|f|{"y^2 - x*t"}|\N
159.1-[1,3,53,159]|PENDING_GENERATION|0|159|159|1|1|1,3,53,159|0|2|3|t|f|{"y^2 - x*t"}|\N
159.1-[1,3]|PENDING_GENERATION|0|159|159|1|1|1,3|4|5|3|t|f|{"x^10 + 2x^9z + 6x^8z^2 - 27x^7z^3 - 31x^6z^4 + x^5y + 113x^5z^5 + x^4y*z + 19x^4z^6 - 141x^3z^7 + x^2y*z^3 + 38x^2z^8 + x*y*z^4 + 26x*z^9 + y^2 + y*z^5 + z^10"}|\N
159.1-[1,53]|PENDING_GENERATION|0|159|159|1|1|1,53|5|5|3|t|f|{"-3x^11z - 25x^10z^2 + 46x^9z^3 + 483x^8z^4 - 571x^7z^5 - 1063x^6z^6 + x^5y*z + 286x^5z^7 + x^4y*z^2 + 1361x^4z^8 + x^3y*z^3 - 1221x^3z^9 + x^2y*z^4 + 437x^2z^10 - 73x*z^11 + y^2 + y*z^6 + 5z^12"}|\N
178.1-[1,30]|GRAMMAR_VIOLATION|0|178|178|1|1|1,30|\N|8|2|t|f|{"y^2 - (-43x^4 + 4x^3 -19x^2 -4x -12)"}|\N
194.1-[1,194]|PENDING_GENERATION|0|194|194|1|1|1,194|0|2|3|t|f|{"y^2 - x*t"}|\N
194.1-[1,2,97,194]|PENDING_GENERATION|0|194|194|1|1|1,2,97,194|0|2|3|t|f|{"y^2 - x*t"}|\N
194.1-[1,2]|PENDING_GENERATION|0|194|194|1|1|1,2|5|5|3|t|f|{"10x^12 - 78x^11z + 248x^10z^2 - 560x^9z^3 + 1135x^8z^4 - 1726x^7z^5 + 2367x^6z^6 + x^5y*z - 2432x^5z^7 + x^4y*z^2 + 2188x^4z^8 + x^3y*z^3 - 1426x^3z^9 + x^2y*z^4 + 794x^2z^10 - 272x*z^11 + y^2 + 76z^12"}|\N
194.1-[1,97]|PENDING_GENERATION|0|194|194|1|1|1,97|4|5|3|t|f|{"x^10 + 3x^9z + 7x^8z^2 + 19x^7z^3 + 29x^6z^4 + 43x^5z^5 + x^4y*z + 61x^4z^6 + 47x^3z^7 + x^2y*z^3 + 55x^2z^8 + 24x*z^9 + y^2 + 16z^10"}|\N
206.1-[1,103]|PENDING_GENERATION|0|206|206|1|1|1,103|5|5|3|t|f|{"2x^11z - 3x^10z^2 - 10x^9z^3 - 82x^8z^4 - 54x^7z^5 + 184x^6z^6 + x^5y*z + 1662x^5z^7 + x^4y*z^2 + 4971x^4z^8 + x^3y*z^3 + 7210x^3z^9 + x^2y*z^4 + 4556x^2z^10 + 1024x*z^11 + y^2"}|\N
206.1-[1,2,103,206]|PENDING_GENERATION|0|206|206|1|1|1,2,103,206|0|2|3|t|f|{"y^2 - x*t"}|\N
206.1-[1,206]|PENDING_GENERATION|0|206|206|1|1|1,206|0|2|3|t|f|{"y^2 - x*t"}|\N
206.1-[1,2]|PENDING_GENERATION|0|206|206|1|1|1,2|4|5|3|t|f|{"x^10 - 3x^9z + 8x^8z^2 - 16x^7z^3 + 30x^6z^4 + 3x^5z^5 + x^4y*z - 8x^4z^6 - 40x^3z^7 + x^2y*z^3 - 82x^2z^8 + 64x*z^9 + y^2 + 76z^10"}|\N
21.2-[1,14]|PENDING_GENERATION|0|21|42|1|1|1,14|2|5|3|t|f|{"-15x^6 - 18x^5z - 11x^4z^2 + 5x^3z^3 + x^2y*z - 11x^2z^4 + x*y*z^2 - 18x*z^5 + y^2 - 15z^6"}|\N
21.2-[1,2,21,42]|PENDING_GENERATION|0|21|42|1|1|1,2,21,42|0|2|3|t|f|{"7x^2 + y^2 - 62x*t - 9t^2"}|\N
21.2-[1,2,3,6,7,14,21,42]|PENDING_GENERATION|0|21|42|1|1|1,2,3,6,7,14,21,42|0|2|3|t|f|{"y^2 - x*t"}|\N
21.2-[1,2,3,6]|PENDING_GENERATION|0|21|42|1|1|1,2,3,6|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 49x*z^2 + 136z^3"}|\N
21.2-[1,2,7,14]|PENDING_GENERATION|0|21|42|1|1|1,2,7,14|0|2|3|t|f|{"3x*y + y^2 + t^2"}|\N
21.2-[1,21]|PENDING_GENERATION|0|21|42|1|1|1,21|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 4x*z^2 + y*z^2 - 5z^3"}|\N
21.2-[1,2]|PENDING_GENERATION|0|21|42|1|1|1,2|1|8|4|t|f|{"y^2 - x*z","7/81x^2 + 200/81y^2 + 112/81z^2 + t^2"}|\N
21.2-[1,3,14,42]|PENDING_GENERATION|0|21|42|1|1|1,3,14,42|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 4x*z^2 + z^3"}|\N
21.2-[1,3,7,21]|PENDING_GENERATION|0|21|42|1|1|1,3,7,21|0|2|3|t|f|{"-x*y + t^2"}|\N
21.2-[1,3]|PENDING_GENERATION|0|21|42|1|1|1,3|2|5|3|t|f|{"4x^6 - 7x^4z^2 - 15x^3z^3 - 7x^2z^4 + y^2 + 4z^6"}|\N
21.2-[1,42]|PENDING_GENERATION|0|21|42|1|1|1,42|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - x*z^2"}|\N
21.2-[1,6,14,21]|PENDING_GENERATION|0|21|42|1|1|1,6,14,21|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 84x*z^2 + y*z^2 - 261z^3"}|\N
21.2-[1,6,7,42]|PENDING_GENERATION|0|21|42|1|1|1,6,7,42|0|2|3|t|f|{"3x^2 + x*y + t^2"}|\N
21.2-[1,6]|PENDING_GENERATION|0|21|42|1|1|1,6|2|5|3|t|f|{"7x^5z + 4x^4z^2 + 15x^3z^3 + x^2y*z + 4x^2z^4 + x*y*z^2 + 7x*z^5 + y^2"}|\N
21.2-[1,7]|PENDING_GENERATION|0|21|42|1|1|1,7|0|2|3|t|f|{"x^2 + 3y^2 + t^2"}|\N
210.1-[1,105]|PENDING_GENERATION|0|210|210|1|1|1,105|\N|8|2|t|f|{"y^2 - (-43x^4 + 2x^3 + 505x^2 + 12x -1548)"}|\N
210.1-[1,42]|PENDING_GENERATION|0|210|210|1|1|1,42|\N|8|2|t|f|{"y^2 - (-43x^4 + 600x^3 - 986x^2 - 600x -43)"}|\N
210.1-[1,70]|PENDING_GENERATION|0|210|210|1|1|1,70|\N|8|2|t|f|{"y^2 - (-43x^4 + 256x^3 - 130x^2 - 768x -387)"}|\N
22.5-[1,10,11,110]|PENDING_GENERATION|0|22|110|1|1|1,10,11,110|0|2|3|t|f|{"y^2 - x*t"}|\N
22.5-[1,10,22,55]|PENDING_GENERATION|0|22|110|1|1|1,10,22,55|2|5|3|t|f|{"11x^5z - 30x^4z^2 - 37x^3z^3 - 56x^2z^4 - 80x*z^5 + y^2"}|\N
22.5-[1,10]|PENDING_GENERATION|0|22|110|1|1|1,10|3|5|3|t|f|{"-11x^7z + 80x^6z^2 - 240x^5z^3 + 362x^4z^4 - 240x^3z^5 + 80x^2z^6 - 11x*z^7 + y^2"}|\N
22.5-[1,110]|PENDING_GENERATION|0|22|110|1|1|1,110|0|2|3|t|f|{"y^2 - x*t"}|\N
22.5-[1,11]|PENDING_GENERATION|0|22|110|1|1|1,11|2|5|3|t|f|{"-5x^6 - 15x^5z - 10x^4z^2 + 5x^3z^3 + x^2y*z + 2x^2z^4 + x*y*z^2 - 3x*z^5 + y^2 + y*z^3 + 3z^6"}|\N
22.5-[1,2,11,22]|PENDING_GENERATION|0|22|110|1|1|1,2,11,22|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z - 10x*z^2 + y*z^2 + 45z^3"}|\N
22.5-[1,2,5,10,11,22,55,110]|PENDING_GENERATION|0|22|110|1|1|1,2,5,10,11,22,55,110|0|2|3|t|f|{"-y^2 + x*t + 2t^2"}|\N
22.5-[1,2,5,10]|PENDING_GENERATION|0|22|110|1|1|1,2,5,10|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - 9x*z^2 + 25z^3"}|\N
22.5-[1,2,55,110]|PENDING_GENERATION|0|22|110|1|1|1,2,55,110|0|2|3|t|f|{"x^2 - 4y^2 - x*t"}|\N
22.5-[1,22]|PENDING_GENERATION|0|22|110|1|1|1,22|3|5|3|t|f|{"3x^8 + 48x^6z^2 + x^4y + 311x^4z^4 + x^2y*z^2 + 915x^2z^6 + y^2 + 1024z^8"}|\N
22.5-[1,2]|PENDING_GENERATION|0|22|110|1|1|1,2|2|5|3|t|f|{"x^6 + x^5z + 7x^4z^2 + 3x^3z^3 + x^2y*z + 7x^2z^4 + x*y*z^2 + x*z^5 + y^2 + z^6"}|\N
22.5-[1,5,11,55]|PENDING_GENERATION|0|22|110|1|1|1,5,11,55|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - 296x*z^2 + y*z^2 - 1702z^3"}|\N
22.5-[1,5,22,110]|PENDING_GENERATION|0|22|110|1|1|1,5,22,110|0|2|3|t|f|{"x^2 + 4y^2 + x*t"}|\N
22.5-[1,55]|PENDING_GENERATION|0|22|110|1|1|1,55|3|5|3|t|f|{"3x^8 - 7x^6z^2 + x^4y - 9x^4z^4 + x^2y*z^2 - 14x^2z^6 + y^2 - 20z^8"}|\N
22.5-[1,5]|PENDING_GENERATION|0|22|110|1|1|1,5|2|5|3|t|f|{"11x^6 - 33x^5z + 78x^4z^2 - 100x^3z^3 + x^2y*z + 107x^2z^4 + x*y*z^2 - 61x*z^5 + y^2 + y*z^3 + 29z^6"}|\N
22.3-[1,11]|PENDING_GENERATION|0|22|66|1|1|1,11|1|8|4|t|f|{"y^2 - x*z","27x^2 + 200y^2 + 1584z^2 + t^2"}|\N
22.3-[1,2,11,22]|PENDING_GENERATION|0|22|66|1|1|1,2,11,22|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - 115x*z^2 - 561z^3"}|\N
22.3-[1,2,3,6,11,22,33,66]|PENDING_GENERATION|0|22|66|1|1|1,2,3,6,11,22,33,66|0|2|3|t|f|{"y^2 - x*t"}|\N
22.3-[1,2,3,6]|PENDING_GENERATION|0|22|66|1|1|1,2,3,6|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 12x*z^2 + y*z^2 + 81z^3"}|\N
22.3-[1,2,33,66]|PENDING_GENERATION|0|22|66|1|1|1,2,33,66|0|2|3|t|f|{"-y^2 + x*t - 2t^2"}|\N
22.3-[1,22]|PENDING_GENERATION|0|22|66|1|1|1,22|2|5|3|t|f|{"11x^6 - 33x^5z + 15x^4z^2 + 26x^3z^3 + x^2y*z - 7x^2z^4 + x*y*z^2 - 10x*z^5 + y^2 + y*z^3 - 2z^6"}|\N
22.3-[1,2]|PENDING_GENERATION|0|22|66|1|1|1,2|2|5|3|t|f|{"5x^6 + 11x^5z + 25x^4z^2 + 27x^3z^3 + x^2y*z + 25x^2z^4 + x*y*z^2 + 11x*z^5 + y^2 + 5z^6"}|\N
22.3-[1,3,11,33]|PENDING_GENERATION|0|22|66|1|1|1,3,11,33|0|2|3|t|f|{"27x^2 + y^2 + 308x*t + 2092t^2"}|\N
22.3-[1,3,22,66]|PENDING_GENERATION|0|22|66|1|1|1,3,22,66|0|2|3|t|f|{"-x*y + t^2"}|\N
22.3-[1,33]|PENDING_GENERATION|0|22|66|1|1|1,33|1|8|4|t|f|{"y^2 - x*z","27x^2 + 416y^2 + 2816z^2 + t^2"}|\N
22.3-[1,3]|PENDING_GENERATION|0|22|66|1|1|1,3|1|8|4|t|f|{"108x^2 - 1232x*y + 8584y^2 - 1232y*z + 108z^2 + t^2","y^2 - x*z"}|\N
22.3-[1,6,11,66]|PENDING_GENERATION|0|22|66|1|1|1,6,11,66|0|2|3|t|f|{"-y^2 + x*t + 2t^2"}|\N
22.3-[1,6,22,33]|PENDING_GENERATION|0|22|66|1|1|1,6,22,33|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - 4x*z^2 + y*z^2 - 20z^3"}|\N
22.3-[1,66]|PENDING_GENERATION|0|22|66|1|1|1,66|0|2|3|t|f|{"y^2 - x*t"}|\N
22.3-[1,6]|PENDING_GENERATION|0|22|66|1|1|1,6|2|5|3|t|f|{"11x^5z - 18x^4z^2 + 41x^3z^3 - 18x^2z^4 + 11x*z^5 + y^2"}|\N
254.1-[1,254]|PENDING_GENERATION|0|254|254|1|1|1,254|\N|5|3|t|f|{"8x^6+25x^4z^2-18x^2z^4+z^6-y^2"}|\N
26.1-[1,13]|PENDING_GENERATION|0|26|26|1|1|1,13|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 5x*z^2 + y*z^2 + 8z^3"}|\N
26.1-[1,2,13,26]|PENDING_GENERATION|0|26|26|1|1|1,2,13,26|0|2|3|t|f|{"y^2 - x*t"}|\N
26.1-[1,26]|PENDING_GENERATION|0|26|26|1|1|1,26|0|2|3|t|f|{"y^2 - x*t"}|\N
26.1-[1,2]|PENDING_GENERATION|0|26|26|1|1|1,2|1|5|3|t|f|{"-x^3 + x^2z + x*y*z + y^2z + 213x*z^2 + y*z^2 + 1257z^3"}|\N
26.3-[1,13]|PENDING_GENERATION|0|26|78|1|1|1,13|3|5|3|t|f|{"-2x^8 - 57x^6z^2 - 601x^4z^4 + x^3y*z - 2721x^2z^6 + x*y*z^3 + y^2 - 4394z^8"}|\N
26.3-[1,2,13,26]|PENDING_GENERATION|0|26|78|1|1|1,2,13,26|0|2|3|t|f|{"x^2 - 1/8y*t"}|\N
26.3-[1,2,3,6,13,26,39,78]|PENDING_GENERATION|0|26|78|1|1|1,2,3,6,13,26,39,78|0|2|3|t|f|{"x*y + 8x*t + 24y*t"}|\N
26.3-[1,2,3,6]|PENDING_GENERATION|0|26|78|1|1|1,2,3,6|1|5|3|t|f|{"-x^3 + x^2z + x*y*z + y^2z + 213x*z^2 + y*z^2 + 1257z^3"}|\N
26.3-[1,2,39,78]|PENDING_GENERATION|0|26|78|1|1|1,2,39,78|1|5|3|t|f|{"-x^3 + x^2z + x*y*z + y^2z + 3x*z^2 + y*z^2 - 3z^3"}|\N
26.3-[1,26]|PENDING_GENERATION|0|26|78|1|1|1,26|0|2|3|t|f|{"x^2 + 24y^2 + 8t^2"}|\N
26.3-[1,2]|PENDING_GENERATION|0|26|78|1|1|1,2|2|5|3|t|f|{"2x^6 + 2x^5z + 26x^4z^2 + 21x^3z^3 + x^2y*z + 111x^2z^4 + x*y*z^2 + 49x*z^5 + y^2 + 149z^6"}|\N
26.3-[1,3,13,39]|PENDING_GENERATION|0|26|78|1|1|1,3,13,39|2|5|3|t|f|{"-2x^5z - 3x^4z^2 - 16x^3z^3 + x^2y*z + 23x^2z^4 + x*y*z^2 - 6x*z^5 + y^2"}|\N
26.3-[1,3,26,78]|PENDING_GENERATION|0|26|78|1|1|1,3,26,78|0|2|3|t|f|{"x^2 - y*t"}|\N
26.3-[1,39]|PENDING_GENERATION|0|26|78|1|1|1,39|3|5|3|t|f|{"-x^7z - 3x^6z^2 - 7x^5z^3 + x^4y - 19x^4z^4 - 29x^3z^5 + x^2y*z^2 - 19x^2z^6 - 6x*z^7 + y^2 + y*z^4 + 6z^8"}|\N
26.3-[1,3]|PENDING_GENERATION|0|26|78|1|1|1,3|3|5|3|t|f|{"2x^8 - 3x^6z^2 + 17x^4z^4 + x^3y*z + 23x^2z^6 + x*y*z^3 + y^2 + 6z^8"}|\N
26.3-[1,6,13,78]|PENDING_GENERATION|0|26|78|1|1|1,6,13,78|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + y*z^2"}|\N
26.3-[1,6,26,39]|PENDING_GENERATION|0|26|78|1|1|1,6,26,39|0|2|3|t|f|{"x^2 - 1/3y*t"}|\N
26.3-[1,6]|PENDING_GENERATION|0|26|78|1|1|1,6|2|5|3|t|f|{"2x^6 - 6x^5z + 20x^4z^2 - 30x^3z^3 + 108x^2z^4 - 94x*z^5 + y^2 - 46z^6"}|\N
26.3-[1,78]|PENDING_GENERATION|0|26|78|1|1|1,78|2|5|3|t|f|{"x^5z - 2x^4z^2 + x^3y + 2x^3z^3 - 2x^2z^4 + x*z^5 + y^2 + y*z^3"}|\N
326.1-[1,326]|PENDING_GENERATION|0|326|326|1|1|1,326|\N|5|3|t|f|{"x^6+10x^4z^2-63x^2z^4+4z^6-y^2"}|\N
330.1-[1,165]|PENDING_GENERATION|0|330|330|1|1|1,165|\N|8|2|t|f|{"y^2 - (-3x^4 + 614x^2 - 19683)"}|\N
330.1-[1,22]|PENDING_GENERATION|0|330|330|1|1|1,22|\N|8|2|t|f|{"y^2 - (-3x^4 + 1358x^2 - 177147)"}|\N
330.1-[1,33]|PENDING_GENERATION|0|330|330|1|1|1,33|\N|8|2|t|f|{"y^2 - (-3x^4 + 2846x^2 - 2381643)"}|\N
330.1-[1,3]|PENDING_GENERATION|0|330|330|1|1|1,3|\N|8|2|t|f|{"y^2 - (-3x^4 - 22x^3 - 125x^2 - 66x -27)"}|\N
35.1-[1,35]|PENDING_GENERATION|0|35|35|1|1|1,35|0|2|3|t|f|{"y^2 - x*t"}|\N
35.1-[1,5,7,35]|PENDING_GENERATION|0|35|35|1|1|1,5,7,35|0|2|3|t|f|{"-x*y + t^2"}|\N
35.1-[1,5]|PENDING_GENERATION|0|35|35|1|1|1,5|2|5|3|t|f|{"7x^5z - x^4z^2 - x^3z^3 + x^2y*z - x^2z^4 - 5x*z^5 + y^2 + y*z^3 + 4z^6"}|\N
35.1-[1,7]|PENDING_GENERATION|0|35|35|1|1|1,7|1|5|3|t|f|{"-x^3 - x^2z + y^2z - 9x*z^2 + y*z^2 - z^3"}|\N
38.1-[1,19]|PENDING_GENERATION|0|38|38|1|1|1,19|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - 9x*z^2 + y*z^2 - 90z^3"}|\N
38.1-[1,2,19,38]|PENDING_GENERATION|0|38|38|1|1|1,2,19,38|0|2|3|t|f|{"y^2 - x*t"}|\N
38.1-[1,2]|PENDING_GENERATION|0|38|38|1|1|1,2|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 70x*z^2 + y*z^2 + 279z^3"}|\N
38.1-[1,38]|PENDING_GENERATION|0|38|38|1|1|1,38|0|2|3|t|f|{"y^2 - x*t"}|\N
39.1-[1,13]|PENDING_GENERATION|0|39|39|1|1|1,13|1|8|4|t|f|{"7x^2 + 30x*y + 49y^2 + 42y*z + 19z^2 + t^2","y^2 - x*z"}|duplicate-label: two distinct models of this genus-1 curve (4-var P^3 embedded + 2-var y^2=quartic plane); keep both. y^2=quartic reps need a corruption check
39.1-[1,13]|PENDING_GENERATION|1|39|39|1|1|1,13|1|8|2|t|f|{"y^2 - (-7x^4 - 24x^3 - 34x^3 - 34x^2 + 24x - 7)"}|CORRUPT y^2=quartic rep: doubled '-34x^3' term; duplicate-label: two distinct models of this genus-1 curve (4-var P^3 embedded + 2-var y^2=quartic plane); keep both. y^2=quartic reps need a corruption check
39.1-[1,3,13,39]|PENDING_GENERATION|0|39|39|1|1|1,3,13,39|0|2|3|t|f|{"-y^2 + x*t - 2t^2"}|\N
39.1-[1,39]|PENDING_GENERATION|0|39|39|1|1|1,39|0|2|3|t|f|{"y^2 - x*t"}|\N
39.1-[1,3]|PENDING_GENERATION|0|39|39|1|1|1,3|2|5|3|t|f|{"2x^6 + 3x^5z + 8x^4z^2 + x^3y - 3x^3z^3 - x^2z^4 - 6x*z^5 + y^2 + y*z^3 + 4z^6"}|\N
39.2-[1,13]|PENDING_GENERATION|0|39|78|1|1|1,13|3|5|3|t|f|{"x^8 - 4x^7z + 16x^6z^2 - 28x^5z^3 + x^4y + 47x^4z^4 + x^3y*z - 48x^3z^5 + x^2y*z^2 + 46x^2z^6 - 24x*z^7 + y^2 + 12z^8"}|\N
39.2-[1,2,13,26]|PENDING_GENERATION|0|39|78|1|1|1,2,13,26|2|5|3|t|f|{"2x^6 + 2x^5z - 5x^4z^2 + x^3y - x^3z^3 + x^2y*z - x^2z^4 + x*y*z^2 + 6x*z^5 + y^2"}|\N
39.2-[1,2,3,6,13,26,39,78]|PENDING_GENERATION|0|39|78|1|1|1,2,3,6,13,26,39,78|0|2|3|t|f|{"y^2 - x*t"}|\N
39.2-[1,2,3,6]|PENDING_GENERATION|0|39|78|1|1|1,2,3,6|2|5|3|t|f|{"-x^5z - x^4z^2 + x^3y + 2x^3z^3 + x^2y*z + 3x^2z^4 + x*y*z^2 + 3x*z^5 + y^2"}|\N
39.2-[1,2,39,78]|PENDING_GENERATION|0|39|78|1|1|1,2,39,78|0|2|3|t|f|{"y^2 - x*t"}|\N
39.2-[1,26]|PENDING_GENERATION|0|39|78|1|1|1,26|4|5|3|t|f|{"2x^10 + 16x^9z + 61x^8z^2 + 135x^7z^3 + 202x^6z^4 + x^5y + 222x^5z^5 + 202x^4z^6 + 135x^3z^7 + 61x^2z^8 + 16x*z^9 + y^2 + y*z^5 + 2z^10"}|\N
39.2-[1,2]|PENDING_GENERATION|0|39|78|1|1|1,2|4|5|3|t|f|{"2x^10 - 22x^9z + 98x^8z^2 - 196x^7z^3 + 157x^6z^4 + x^5y - 64x^5z^5 + 157x^4z^6 - 196x^3z^7 + 98x^2z^8 - 22x*z^9 + y^2 + y*z^5 + 2z^10"}|\N
39.2-[1,3,13,39]|PENDING_GENERATION|0|39|78|1|1|1,3,13,39|0|2|3|t|f|{"y^2 - x*t"}|\N
39.2-[1,3,26,78]|PENDING_GENERATION|0|39|78|1|1|1,3,26,78|2|5|3|t|f|{"2x^6 + 10x^5z + 4x^4z^2 + x^3y - 14x^3z^3 + x^2y*z + 47x^2z^4 + x*y*z^2 - 13x*z^5 + y^2"}|\N
39.2-[1,39]|PENDING_GENERATION|0|39|78|1|1|1,39|0|2|3|t|f|{"y^2 - x*t"}|\N
39.2-[1,3]|PENDING_GENERATION|0|39|78|1|1|1,3|4|5|3|t|f|{"4x^10 + 26x^9z + 101x^8z^2 + 240x^7z^3 + 470x^6z^4 + x^5y + 655x^5z^5 + x^4y*z + 796x^4z^6 + x^3y*z^2 + 688x^3z^7 + 524x^2z^8 + 240x*z^9 + y^2 + 96z^10"}|\N
39.2-[1,6,13,78]|PENDING_GENERATION|0|39|78|1|1|1,6,13,78|1|8|4|t|f|{"y^2 - x*z","-1/4x^2 + 3/2x*y - 11/4y^2 + 3/2y*z + 3/4z^2 + t^2"}|\N
39.2-[1,6,26,39]|PENDING_GENERATION|0|39|78|1|1|1,6,26,39|0|2|3|t|f|{"y^2 - x*t"}|\N
39.2-[1,6]|PENDING_GENERATION|0|39|78|1|1|1,6|3|5|3|t|f|{"-x^7z - 3x^6z^2 - 5x^5z^3 + x^4y - 5x^4z^4 + x^3y*z - 5x^3z^5 + x^2y*z^2 - 3x^2z^6 + x*y*z^3 - x*z^7 + y^2 + y*z^4"}|\N
39.2-[1,78]|PENDING_GENERATION|0|39|78|1|1|1,78|3|5|3|t|f|{"2x^8 - 11x^7z + 28x^6z^2 - 20x^5z^3 + x^4y + 5x^4z^4 + x^3y*z - 20x^3z^5 + x^2y*z^2 + 28x^2z^6 + x*y*z^3 - 11x*z^7 + y^2 + y*z^4 + 2z^8"}|\N
446.1-[1,446]|PENDING_GENERATION|0|446|446|1|1|1,446|\N|5|3|t|f|{"-16x^6-7x^4z^2+38x^2z^4+z^6-y^2"}|\N
462.1-[1,154]|PENDING_GENERATION|0|462|462|1|1|1,154|\N|8|2|t|f|{"y^2 - (-x^4 - 283x^2 - 16384)"}|\N
51.1-[1,17]|PENDING_GENERATION|0|51|51|1|1|1,17|2|5|3|t|f|{"2x^6 + 15x^5z + 39x^4z^2 + x^3y + 21x^3z^3 - 19x^2z^4 + x*y*z^2 + 3x*z^5 + y^2"}|\N
51.1-[1,3,17,51]|PENDING_GENERATION|0|51|51|1|1|1,3,17,51|0|2|3|t|f|{"-x*y + t^2"}|\N
51.1-[1,3]|PENDING_GENERATION|0|51|51|1|1|1,3|1|5|3|t|f|{"-x^3 - x^2z + y^2z + 59x*z^2 + y*z^2 + 196z^3"}|\N
51.1-[1,51]|PENDING_GENERATION|0|51|51|1|1|1,51|0|2|3|t|f|{"y^2 - x*t"}|\N
55.1-[1,11]|PENDING_GENERATION|0|55|55|1|1|1,11|2|5|3|t|f|{"x^6 + 6x^4z^2 + x^3y - x^3z^3 + x^2y*z + 10x^2z^4 + x*y*z^2 + 2x*z^5 + y^2 + 3z^6"}|\N
