# T15 points/obstructions update for gps_shimura_test -- PROVISIONAL, pending T27 reload.
# Labels use the canonical (T29) grammar; shipped DB labels differ for the
# 5 enhanced D=6 rows (class letters a/b reshuffled) -- re-key by the
# invariant join_* columns before any load against a different label state.
# v1 scope (Q9 DECIDED): real place (Shimura + Ogg) and CM lower bounds (GR06);
# no p-adic criteria.  Load: strip '#' lines and the join_* columns, then
# db.gps_shimura_test.update_from_file(..., label_col='label', sep='|')
# AFTER T03's count file (T15 supersedes its pointless=\N on the coarse bases).
label|cm_discriminants|obstructions|has_obstruction|pointless|num_known_degree1_points|num_known_degree1_noncm_points|all_degree1_points_known|join_discB|join_discO|join_deg_mu|join_level_congruence|join_eichler_level|join_fuchsian_index|join_index|join_genus|join_W
570.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|570|570|1|1|1|4|4|13|1
573.1.1.2.31.a.1|{}|{0}|1|t|0|0|t|573|573|1|1|1|2|2|31|1
579.1.1.2.33.a.1|{}|{0}|1|t|0|0|t|579|579|1|1|1|2|2|33|1
581.1.1.2.41.a.1|{}|{0}|1|t|0|0|t|581|581|1|1|1|2|2|41|1
583.1.1.4.43.a.1|{}|{0}|1|t|0|0|t|583|583|1|1|1|4|4|43|1
586.1.1.4.24.a.1|{}|{0}|1|t|0|0|t|586|586|1|1|1|4|4|24|1
589.1.1.2.45.a.1|{}|{0}|1|t|0|0|t|589|589|1|1|1|2|2|45|1
591.1.1.4.33.a.1|{}|{0}|1|t|0|0|t|591|591|1|1|1|4|4|33|1
597.1.1.2.33.a.1|{}|{0}|1|t|0|0|t|597|597|1|1|1|2|2|33|1
611.1.1.2.47.a.1|{}|{0}|1|t|0|0|t|611|611|1|1|1|2|2|47|1
614.1.1.2.26.a.1|{}|{0}|1|t|0|0|t|614|614|1|1|1|2|2|26|1
622.1.1.2.25.a.1|{}|{0}|1|t|0|0|t|622|622|1|1|1|2|2|25|1
623.1.1.2.45.a.1|{}|{0}|1|t|0|0|t|623|623|1|1|1|2|2|45|1
626.1.1.2.27.a.1|{}|{0}|1|t|0|0|t|626|626|1|1|1|2|2|27|1
629.1.1.2.49.a.1|{}|{0}|1|t|0|0|t|629|629|1|1|1|2|2|49|1
633.1.1.2.35.a.1|{}|{0}|1|t|0|0|t|633|633|1|1|1|2|2|35|1
634.1.1.4.26.a.1|{}|{0}|1|t|0|0|t|634|634|1|1|1|4|4|26|1
635.1.1.4.43.a.1|{}|{0}|1|t|0|0|t|635|635|1|1|1|4|4|43|1
649.1.1.2.47.a.1|{}|{0}|1|t|0|0|t|649|649|1|1|1|2|2|47|1
655.1.1.4.43.a.1|{}|{0}|1|t|0|0|t|655|655|1|1|1|4|4|43|1
662.1.1.2.28.a.1|{}|{0}|1|t|0|0|t|662|662|1|1|1|2|2|28|1
667.1.1.2.51.a.1|{}|{0}|1|t|0|0|t|667|667|1|1|1|2|2|51|1
669.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|669|669|1|1|1|2|2|37|1
671.1.1.4.51.a.1|{}|{0}|1|t|0|0|t|671|671|1|1|1|4|4|51|1
674.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|674|674|1|1|1|2|2|29|1
679.1.1.2.49.a.1|{}|{0}|1|t|0|0|t|679|679|1|1|1|2|2|49|1
681.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|681|681|1|1|1|2|2|37|1
685.1.1.4.45.a.1|{}|{0}|1|t|0|0|t|685|685|1|1|1|4|4|45|1
687.1.1.4.39.a.1|{}|{0}|1|t|0|0|t|687|687|1|1|1|4|4|39|1
689.1.1.2.53.a.1|{}|{0}|1|t|0|0|t|689|689|1|1|1|2|2|53|1
690.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|690|690|1|1|1|4|4|13|1
694.1.1.4.28.a.1|{}|{0}|1|t|0|0|t|694|694|1|1|1|4|4|28|1
695.1.1.4.47.a.1|{}|{0}|1|t|0|0|t|695|695|1|1|1|4|4|47|1
697.1.1.2.53.a.1|{}|{0}|1|t|0|0|t|697|697|1|1|1|2|2|53|1
698.1.1.4.30.a.1|{}|{0}|1|t|0|0|t|698|698|1|1|1|4|4|30|1
699.1.1.2.39.a.1|{}|{0}|1|t|0|0|t|699|699|1|1|1|2|2|39|1
703.1.1.4.55.a.1|{}|{0}|1|t|0|0|t|703|703|1|1|1|4|4|55|1
706.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|706|706|1|1|1|2|2|29|1
707.1.1.4.51.a.1|{}|{0}|1|t|0|0|t|707|707|1|1|1|4|4|51|1
713.1.1.2.55.a.1|{}|{0}|1|t|0|0|t|713|713|1|1|1|2|2|55|1
714.1.1.2.17.a.1|{}|{0}|1|t|0|0|t|714|714|1|1|1|2|2|17|1
717.1.1.2.39.a.1|{}|{0}|1|t|0|0|t|717|717|1|1|1|2|2|39|1
718.1.1.2.29.a.1|{}|{0}|1|t|0|0|t|718|718|1|1|1|2|2|29|1
721.1.1.2.51.a.1|{}|{0}|1|t|0|0|t|721|721|1|1|1|2|2|51|1
723.1.1.2.41.a.1|{}|{0}|1|t|0|0|t|723|723|1|1|1|2|2|41|1
731.1.1.2.57.a.1|{}|{0}|1|t|0|0|t|731|731|1|1|1|2|2|57|1
734.1.1.2.31.a.1|{}|{0}|1|t|0|0|t|734|734|1|1|1|2|2|31|1
737.1.1.2.55.a.1|{}|{0}|1|t|0|0|t|737|737|1|1|1|2|2|55|1
745.1.1.2.49.a.1|{}|{0}|1|t|0|0|t|745|745|1|1|1|2|2|49|1
746.1.1.2.32.a.1|{}|{0}|1|t|0|0|t|746|746|1|1|1|2|2|32|1
749.1.1.2.53.a.1|{}|{0}|1|t|0|0|t|749|749|1|1|1|2|2|53|1
753.1.1.2.41.a.1|{}|{0}|1|t|0|0|t|753|753|1|1|1|2|2|41|1
755.1.1.2.51.a.1|{}|{0}|1|t|0|0|t|755|755|1|1|1|2|2|51|1
758.1.1.2.32.a.1|{}|{0}|1|t|0|0|t|758|758|1|1|1|2|2|32|1
763.1.1.4.55.a.1|{}|{0}|1|t|0|0|t|763|763|1|1|1|4|4|55|1
766.1.1.2.31.a.1|{}|{0}|1|t|0|0|t|766|766|1|1|1|2|2|31|1
767.1.1.4.59.a.1|{}|{0}|1|t|0|0|t|767|767|1|1|1|4|4|59|1
770.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|770|770|1|1|1|2|2|21|1
771.1.1.2.43.a.1|{}|{0}|1|t|0|0|t|771|771|1|1|1|2|2|43|1
778.1.1.4.32.a.1|{}|{0}|1|t|0|0|t|778|778|1|1|1|4|4|32|1
779.1.1.2.61.a.1|{}|{0}|1|t|0|0|t|779|779|1|1|1|2|2|61|1
781.1.1.2.57.a.1|{}|{0}|1|t|0|0|t|781|781|1|1|1|2|2|57|1
785.1.1.2.53.a.1|{}|{0}|1|t|0|0|t|785|785|1|1|1|2|2|53|1
789.1.1.2.43.a.1|{}|{0}|1|t|0|0|t|789|789|1|1|1|2|2|43|1
791.1.1.2.57.a.1|{}|{0}|1|t|0|0|t|791|791|1|1|1|2|2|57|1
793.1.1.2.61.a.1|{}|{0}|1|t|0|0|t|793|793|1|1|1|2|2|61|1
794.1.1.2.34.a.1|{}|{0}|1|t|0|0|t|794|794|1|1|1|2|2|34|1
798.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|798|798|1|1|1|4|4|17|1
799.1.1.4.61.a.1|{}|{0}|1|t|0|0|t|799|799|1|1|1|4|4|61|1
802.1.1.2.33.a.1|{}|{0}|1|t|0|0|t|802|802|1|1|1|2|2|33|1
803.1.1.2.61.a.1|{}|{0}|1|t|0|0|t|803|803|1|1|1|2|2|61|1
807.1.1.4.45.a.1|{}|{0}|1|t|0|0|t|807|807|1|1|1|4|4|45|1
813.1.1.2.45.a.1|{}|{0}|1|t|0|0|t|813|813|1|1|1|2|2|45|1
815.1.1.4.55.a.1|{}|{0}|1|t|0|0|t|815|815|1|1|1|4|4|55|1
817.1.1.2.63.a.1|{}|{0}|1|t|0|0|t|817|817|1|1|1|2|2|63|1
818.1.1.2.35.a.1|{}|{0}|1|t|0|0|t|818|818|1|1|1|2|2|35|1
831.1.1.4.47.a.1|{}|{0}|1|t|0|0|t|831|831|1|1|1|4|4|47|1
835.1.1.4.55.a.1|{}|{0}|1|t|0|0|t|835|835|1|1|1|4|4|55|1
838.1.1.4.34.a.1|{}|{0}|1|t|0|0|t|838|838|1|1|1|4|4|34|1
842.1.1.2.36.a.1|{}|{0}|1|t|0|0|t|842|842|1|1|1|2|2|36|1
843.1.1.4.47.a.1|{}|{0}|1|t|0|0|t|843|843|1|1|1|4|4|47|1
849.1.1.2.47.a.1|{}|{0}|1|t|0|0|t|849|849|1|1|1|2|2|47|1
851.1.1.2.67.a.1|{}|{0}|1|t|0|0|t|851|851|1|1|1|2|2|67|1
858.1.1.4.21.a.1|{}|{0}|1|t|0|0|t|858|858|1|1|1|4|4|21|1
862.1.1.2.35.a.1|{}|{0}|1|t|0|0|t|862|862|1|1|1|2|2|35|1
865.1.1.2.57.a.1|{}|{0}|1|t|0|0|t|865|865|1|1|1|2|2|57|1
866.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|866|866|1|1|1|2|2|37|1
869.1.1.2.65.a.1|{}|{0}|1|t|0|0|t|869|869|1|1|1|2|2|65|1
870.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|870|870|1|1|1|4|4|17|1
871.1.1.4.67.a.1|{}|{0}|1|t|0|0|t|871|871|1|1|1|4|4|67|1
878.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|878|878|1|1|1|2|2|37|1
879.1.1.4.49.a.1|{}|{0}|1|t|0|0|t|879|879|1|1|1|4|4|49|1
886.1.1.4.36.a.1|{}|{0}|1|t|0|0|t|886|886|1|1|1|4|4|36|1
889.1.1.2.63.a.1|{}|{0}|1|t|0|0|t|889|889|1|1|1|2|2|63|1
893.1.1.2.69.a.1|{}|{0}|1|t|0|0|t|893|893|1|1|1|2|2|69|1
895.1.1.4.59.a.1|{}|{0}|1|t|0|0|t|895|895|1|1|1|4|4|59|1
898.1.1.2.37.a.1|{}|{0}|1|t|0|0|t|898|898|1|1|1|2|2|37|1
899.1.1.2.71.a.1|{}|{0}|1|t|0|0|t|899|899|1|1|1|2|2|71|1
901.1.1.2.69.a.1|{}|{0}|1|t|0|0|t|901|901|1|1|1|2|2|69|1
905.1.1.2.61.a.1|{}|{0}|1|t|0|0|t|905|905|1|1|1|2|2|61|1
910.1.1.4.25.a.1|{}|{0}|1|t|0|0|t|910|910|1|1|1|4|4|25|1
913.1.1.2.67.a.1|{}|{0}|1|t|0|0|t|913|913|1|1|1|2|2|67|1
914.1.1.2.39.a.1|{}|{0}|1|t|0|0|t|914|914|1|1|1|2|2|39|1
917.1.1.2.65.a.1|{}|{0}|1|t|0|0|t|917|917|1|1|1|2|2|65|1
921.1.1.2.51.a.1|{}|{0}|1|t|0|0|t|921|921|1|1|1|2|2|51|1
922.1.1.4.38.a.1|{}|{0}|1|t|0|0|t|922|922|1|1|1|4|4|38|1
923.1.1.2.71.a.1|{}|{0}|1|t|0|0|t|923|923|1|1|1|2|2|71|1
926.1.1.2.39.a.1|{}|{0}|1|t|0|0|t|926|926|1|1|1|2|2|39|1
930.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|930|930|1|1|1|2|2|21|1
933.1.1.2.51.a.1|{}|{0}|1|t|0|0|t|933|933|1|1|1|2|2|51|1
934.1.1.2.38.a.1|{}|{0}|1|t|0|0|t|934|934|1|1|1|2|2|38|1
939.1.1.2.53.a.1|{}|{0}|1|t|0|0|t|939|939|1|1|1|2|2|53|1
943.1.1.4.73.a.1|{}|{0}|1|t|0|0|t|943|943|1|1|1|4|4|73|1
949.1.1.2.73.a.1|{}|{0}|1|t|0|0|t|949|949|1|1|1|2|2|73|1
951.1.1.4.53.a.1|{}|{0}|1|t|0|0|t|951|951|1|1|1|4|4|53|1
955.1.1.4.63.a.1|{}|{0}|1|t|0|0|t|955|955|1|1|1|4|4|63|1
958.1.1.2.39.a.1|{}|{0}|1|t|0|0|t|958|958|1|1|1|2|2|39|1
959.1.1.2.69.a.1|{}|{0}|1|t|0|0|t|959|959|1|1|1|2|2|69|1
965.1.1.2.65.a.1|{}|{0}|1|t|0|0|t|965|965|1|1|1|2|2|65|1
966.1.1.2.21.a.1|{}|{0}|1|t|0|0|t|966|966|1|1|1|2|2|21|1
973.1.1.2.69.a.1|{}|{0}|1|t|0|0|t|973|973|1|1|1|2|2|69|1
974.1.1.2.41.a.1|{}|{0}|1|t|0|0|t|974|974|1|1|1|2|2|41|1
979.1.1.2.73.a.1|{}|{0}|1|t|0|0|t|979|979|1|1|1|2|2|73|1
982.1.1.2.40.a.1|{}|{0}|1|t|0|0|t|982|982|1|1|1|2|2|40|1
985.1.1.2.65.a.1|{}|{0}|1|t|0|0|t|985|985|1|1|1|2|2|65|1
989.1.1.2.77.a.1|{}|{0}|1|t|0|0|t|989|989|1|1|1|2|2|77|1
993.1.1.2.55.a.1|{}|{0}|1|t|0|0|t|993|993|1|1|1|2|2|55|1
995.1.1.2.67.a.1|{}|{0}|1|t|0|0|t|995|995|1|1|1|2|2|67|1
998.1.1.2.42.a.1|{}|{0}|1|t|0|0|t|998|998|1|1|1|2|2|42|1
